BldLink,BldName,BldAddress,BldSize,BldType,BldBuilt,BldFurnish,BldBedRoomCount,BldToiletCount,BldRentFee,BldRentFeePeriod,timestamp
https://www.propertyguru.com.sg/listing/22769529/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24117832/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24161760/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Condominium,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/20909950/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,883 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/23024760/for-rent-marina-bay-suites,Marina Bay Suites,3 Central Boulevard,2053 sqft,Apartment,2014,Partially Furnished,4 ,4 ,"16,000 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/14489647/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,861 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,000 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24164571/for-rent-one-shenton,One Shenton,1 Shenton Way,540 sqft,Condominium,2011,Fully Furnished,1 ,1 ,"5,000 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/20770460/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/23022296/for-rent-the-clift,The Clift,21 McCallum Street,775 sqft,Apartment,2011,Partially Furnished,2 ,2 ,"6,200 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24173581/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,5 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/21144533/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1055 sqft,Condominium,2010,Partially Furnished,2 ,2 ,"8,500 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/21194113/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,689 sqft,Apartment,2008,Partially Furnished,1 ,1 ,"6,100 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24021805/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,4434 sqft,Condominium,2010,Partially Furnished,4 ,5 ,"33,000 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24165655/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24165317/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24138023/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/21908067/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2100 sqft,Apartment,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24165509/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/23027899/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1970 sqft,Condominium,2010,NA,3 ,3 ,"25,000 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24158990/for-rent-marina-one-residences,Marina One Residences,23 Marina Way,1582 sqft,Condominium,2017,Partially Furnished,3 ,3 ,"13,888 ",/mo,"10/06/2022, 09:31:12"
https://www.propertyguru.com.sg/listing/24150851/for-rent-residence-twenty-two,Residence Twenty-Two,246 Telok Kurau Road,495 sqft,Apartment,2021,Partially Furnished,1 ,1 ,"3,900 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/23326572/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24165496/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,6 Marina Boulevard,1949 sqft,Condominium,2008,Partially Furnished,4 ,3 ,"13,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/23749531/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,893 sqft,Condominium,2008,Fully Furnished,3 ,2 ,"6,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24181945/for-rent-marina-one-residences,Marina One Residences,21 Marina Way,1582 sqft,Condominium,2017,NA,3 ,3 ,"13,880 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24176513/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,936 sqft,Condominium,2008,Fully Furnished,2 ,2 ,"7,600 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24180791/for-rent-tanjong-katong-road,Tanjong Katong Road,,"4344 sqft (floor), 3672 sqft (land)",Unfurnished,NA,NA,6 ,7 ,"17,000 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24138599/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/23546759/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,4 Marina Boulevard,936 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"7,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/21489222/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,893 sqft,Apartment,2008,Fully Furnished,2 ,2 ,"6,500 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24181536/for-rent-base-residences-hk-street,Base Residences @ HK Street,,775 sqft,Shophouse,NA,Fully Furnished,2 ,1 ,"6,100 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24166747/for-rent-the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard,2200 sqft,Condominium,2008,Partially Furnished,4 ,4 ,"13,800 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24131721/for-rent-77-east-coast,77 @ East Coast,77 Upper East Coast Road,581 sqft,Condominium,NA,Partially Furnished,1 ,2 ,"3,700 ",/mo,"10/06/2022, 09:31:19"
https://www.propertyguru.com.sg/listing/24178233/for-rent-marina-bay-residences,Marina Bay Residences,18 Marina Boulevard,1636 sqft,Condominium,2010,Partially Furnished,3 ,3 ,"16,000 ",/mo,"10/06/2022, 09:31:19"
